Topic,Count,Name,Representation,Representative_Docs
9,172,9_horaires_sont_les_temps,"['horaires', 'sont', 'les', 'temps', 'ne', 'pas', 'correspondent', 'rel', 'lappli', 'en']","[""des horaires qui ne correspondent pas aux horaires affichés en arrêt. autant ne pas faire d'application dans ce cas..."", ""les horaires ne sont pas du tout réel, j'étais déçu par les horaires annoncé à l'app et la réalité"", 'les horaires ne sont pas à jour...']"
10,152,10_pub_pubs_trop_de,"['pub', 'pubs', 'trop', 'de', 'beaucoup', 'insupportable', 'cest', 'mais', 'devient', 'pire']","['trop de pub', 'trop de pub.', 'trop de pub']"
11,130,11_rien_trop_dire_redire,"['rien', 'trop', 'dire', 'redire', 'personne', 'pas', 'bien', 'tout', 'mal', 'beug']","['application très bien rien à dire', 'très bien rien à dire', ""rien à dire tout s'est bien passé""]"
12,130,12_lapplication_rinstaller_depuis_ne,"['lapplication', 'rinstaller', 'depuis', 'ne', 'fonctionne', 'jour', 'mise', 'souvre', 'application', 'douvrir']","[""depuis la dernière mise à jour l'application bug et ne démarre plus"", 'impossible de faire la mise à jour... l application ne fonctionne pas', 'application figée depuis la dernière mise à jour. plus rien ne fonctionne. pathétique.']"
13,129,13_rapide_envoi_soign_envoie,"['rapide', 'envoi', 'soign', 'envoie', 'merci', 'conforme', 'emball', 'trs', 'parfait', 'et']","['envoi rapide et soigné 👍', 'envoi rapide et soigné.', 'envoi rapide et sérieux']"
14,126,14_transaction_parfaite_merci_rapide,"['transaction', 'parfaite', 'merci', 'rapide', 'bonne', 'trs', 'transactions', 'recommande', 'change', 'conforme']","['très bonne transaction', 'transaction idéale. à bientôt.', 'transaction idéale.']"
15,106,15_compte_mon_numro_connecter,"['compte', 'mon', 'numro', 'connecter', 'me', 'mot', 'impossible', 'mail', 'crer', 'passe']","[""je n'arrive pas a me connecter à mon compte. quand je rentre mon adresse mail, c'est pour créé mon compte alors que j' en ai déjà un."", 'j’arrive pas a me connecter a mon compte il me propose que de crée un compte', 'impossible de se connecter à mon compte..']"
16,96,16_emballage_conforme_produit_livraison,"['emballage', 'conforme', 'produit', 'livraison', 'soign', 'parfait', 'rapide', 'merci', 'envoi', 'recommande']","['livraison rapide. objet conforme à la description. emballage soigné. parfait.', 'produit conforme à la description emballage soigné merci', 'envoi rapide, emballage soigné, produit conforme, parfait merci !']"
17,96,17_vendeur_srieux_merci_trs,"['vendeur', 'srieux', 'merci', 'trs', 'bon', 'ractif', 'emball', 'super', 'colis', 'transaction']","['vendeur sérieux.', 'vendeur agréable, sérieux et réactif', 'vendeur sérieux, et très réactif!']"
18,93,18_recommande_je_personne_parfait,"['recommande', 'je', 'personne', 'parfait', 'trs', 'bien', 'merci', 'vivement', 'sympathique', 'fortement']","['très sérieux je recommande', 'je recommande ,très bien', 'très bien, je recommande']"
19,91,19_version_lancienne_nouvelle_tait,"['version', 'lancienne', 'nouvelle', 'tait', 'mieux', 'prcdente', 'mise', 'la', 'moins', 'est']","[""une nouvelle version c'est sensé être une amélioration de la précédente non ? là c'est tout le contraire, cette nouvelle version est beaucoup moins lisible et beaucoup moins pratique. c'est bien dommage !!!"", 'avoir la nouvelle version', 'déçu de la nouvelle version']"
20,90,20_merci_beaucoup_parfait_bien,"['merci', 'beaucoup', 'parfait', 'bien', 'super', 'trs', 'votre', 'emball', 'reu', 'excellent']","['merci beaucoup 😘😘', 'merci beaucoup', 'génial merci.']"
21,86,21_notifications_notification_messages_message,"['notifications', 'notification', 'messages', 'message', 'mai', 'alertes', 'reois', 'les', 'reoit', '1er']","[""je ne reçois plus les notifications de ventes de messages en faites plus aucunes notifications? que ce passe t'il ?"", 'les notifications ne fonctionne plus depuis la mise a jour', 'bien mais trop de notifications']"
22,84,22_consentement_abonnement_donner_payer,"['consentement', 'abonnement', 'donner', 'payer', 'choix', 'impossible', 'dsinstalle', 'daccder', 'bouton', 'fonctionne']","[""impossible de donner mon consentement, donc impossible d'utiliser l'appli..."", 'consentement forcé = désinstallation', ""bonjour lorsque je veux ouvrir l'application une page s'affiche avec le choix entre la version premium et donner son consentement. le choix donner son consentement ne fonctionne pas. ne serait-ce ce pas de la vente forcée ? dommage j'utilisais beaucoup cette application. la méthode de vente forcée étant lamentable, je vais donc la désinstaller.""]"
23,78,23_bug_bugs_trop_beaucoup,"['bug', 'bugs', 'trop', 'beaucoup', 'souvent', 'nul', 'appli', 'lappli', 'sombre', 'de']","['bug fréquent', 'bug, bug, bug..... 😭', 'bug bug bug']"
24,72,24_rapide_efficace_parfait_et,"['rapide', 'efficace', 'parfait', 'et', 'trs', 'bien', 'rapidit', 'emball', 'soigne', 'impeccable']","['réponse très rapide', 'rapide et sérieux', 'expédition rapide et très soignée 👍']"
25,69,25_critiques_commentaires_critique_censure,"['critiques', 'commentaires', 'critique', 'censure', 'avis', 'aux', 'il', 'commentaire', 'de', 'sont']","['impossible de créer plus de 9 critiques', 'je n\'ai jamais compris qu\'on puisse valider une application aussi merdique. il y a des bugs de partout ! les critiques disparaissent ! il y a de la censure à la tête du client. le personnel allociné n\'est vraiment pas neutre. par exemple des mots grossiers, parfois même à la limite discriminatoire sont tolérés, mais le mot ""woke"", suffit à vous censurer votre texte. c\'est aléatoire, il faut être juste, pas seulement quand on ne va pas dans votre sens. le respect doit s\'appliquer même à allocine', ""la dernière mise à jour qui change l'interface de notre espace personnel est nul de chez nul! comment vous pouvez valider ça en interne? ce n'est pas du progrès mais un retour en arrière. de plus les commentaires que je poste sur les news n'apparaissent même pas! mais le pire est la disparition d'une 60ène de critique! merci de ne pas respecté et de craché au visage des gens qui contribuent à votre site. et des critiques dans la charte sont censurés! webedia est une entreprise très dangereuse.""]"
